7-Eleven stores were temporarily converted into Kwik E-marts to promote the release of what movie?,THE SIMPSONS MOVIE
The legendary Heisman trophy features a helmeted player in what distinctive pose?,GIVING A STIFF_ARM
The letter “S” is directly printed on individual pieces of what brand of candy?,SKITTLES
The letters in the ubiquitous delivery service UPS stand for “United” what?,PARCEL SERVICE
The Lhasa apso is a dog originally bred to guard temples and monasteries in what part of the world?,TIBET
The Lido deck on a cruise ship takes its name from a historic seaside resort area in what city?,VENICEITALY
The life of Maureen Mardera construction worker and exotic dancerinspired what ’80s movie?,FLASHDANCE
The logo for the Goodyear tire company features the winged foot of what Roman god?,MERCURY
The logo of the Shell oil company is a stylized image of what kind of shell?,SCALLOP
The long-running CBS drama “NCIS” is a spin-off of what other long-running TV series?,JAG
The long-time running prime time soap “Knots Landing” was a spin-off of what other long-time soap?,DALLAS
The longtime spokesman for Motel 6Tom Bodett ad-libbed the famous slogan “We’ll” do what “for you”?,LEAVE THE LIGHT ON
The lowest possible temperature 0 Kelvin is commonly known as what?,ABSOLUTE ZERO
The lyrics of the rock song “White Rabbit” make several references to what author’s children’s book?,LEWIS CARROLL
The magazine “Decanter” promotes itself as the “bible” for collectors and connoisseurs of what?,WINE
The manipulative killer in the “Saw” series of horror movies is known by what nickname?,JIGSAW
The members of the European Union that collectively use the euro are often referred to collectively as the what?,EUROZONE
The members of the ’70s pop group ABBA collectively have as many legs as which of these animals?,SPIDER
The military vehicle known as the Humvee first saw U.S. combat action in 1989 in what foreign country?,PANAMA
The minute hand of a clock points to the number 3 at which of these times?,21:15:00
The monthly magazine “Cuesport” is primarily targeted toward enthusiasts of what game?,POOL
The moon is roughly how far from the Earth?,240000 MILES
The mortarboard hat seen at graduations shares its name with a tool used by which of these craftsmen?,STONEMASON
The Mossad is the secret intelligence service of what country?,ISRAEL
The movie poster for what Best Picture winner features a man sitting alone on a park bench?,FORREST GUMP
The movie “Steel Magnolias” is often credited with a surge in popularity of what type of cakepopular in the South?,RED VELVET CAKE
The movies “Spider-Man” and “Breakfast at Tiffany’s” both feature what cinematic cliche?,KISS IN THE RAIN
The MTV reality show “The Challenge” began as a combination of “The Real World” and what other show?,ROAD RULES
The murder trials of Belva Gaertner and Beulah Annan inspired what Best Picture winner?,CHICAGO
The musical acts that compete on NBC’s reality show “The Sing-Off” all have what defining characteristic?,A CAPELLA
The musical duo Sugarland are chart-topping artists in what musical genre?,COUNTRY
The musical scores of the “Charlie Brown” animated TV series notably feature what genre of music?,JAZZ
The musical “Camelot” which debuted on Broadway in 1960features what legendary figure as the lead role?,KING ARTHUR
The musical “Million Dollar Quartet” depicts a legendary 1956 jam session by all but which of these artists?,ROY ORBISON
The musical “West Side Story” is based on what Shakespearean tragedy?,ROMEO AND JULIET
The name for a food item popular in China “bok choy” literally means what?,WHITE VEGETABLE
The name of a famous grocery brand “Spam” is a combination of “ham” and what word?,SPICED
The name of a popular menu item at Taco Bell “gordita” is a Spanish word that literally means what?,FATTY
The name of a song from the popular musical “The Sound of Music” edelweiss is a type of what?,FLOWER
The name of a type of Asian dumpling “won ton” is Chinese for what two words?,CLOUD SWALLOW
The name of Louisiana’s state capitalBaton Rougeis a French phrase meaning what?,RED STICK
The name of Oregon’s capital city can be found embedded within the name of which of these world cities?,JERUSALEM
The name of the holiday Kwanzaa comes from the Swahili phrase “matunda ya kwanza” which means what?,FIRST FRUITS
The name of the Italian opera house La Scala means what in English?,THE STAIRCASE
The name of the restaurant chain Au Bon Pain is a French expression meaning “place of good” what?,BREAD
The name of what basic component in nature is derived from a Greek term meaning “indivisible”?,ATOM
The name of what headgear is derived from an old Persian term meaning “to tie”?,TURBAN
The national program of medicare was established during the term of what U.S. president?,LYNDON B. JOHNSON
The nautical term “starboard” refers to what part of the ship?,RIGHT SIDE
The NBA’S Philadelphia 76ers are named for the year what historic document was signed?,DECLARATION OF INDEPENDENCE
The newspaper term “Op-Ed” means what?,OPPOSITE THE EDITORIAL PAGE
The nickname “Fergie” is shared by both a hip-hop star and a famous ex-royal who holds what title?,DUCHESS OF YORK
The Nile Basin constitutes roughly 10% of the total area of what world continent?,AFRICA
The Notable Names Databaseor nndb.comlists what historic woman’s job experience as “Cake proponent”?,MARIE ANTOINETTE
The numbered spaces on a standard roulette wheel fittingly add up to what sinful number?,666
The Obama administration often points out that Warren Buffet pays a lower tax rate than Debbie Bosanekhis what?,SECRETARY
The Obama girls attend Sidwell Friends a D.C. school founded by a member of what religious group?,QUAKER
The official cocktail of the annual Preakness Stakes horse race shares its name with what flower?,BLACK-EYED SUSAN
The official flag of the European Union features a ring of twelve gold stars on a field of what color?,BLUE
The official logo for the Girl Scouts of the U.S.A. features a picture of what?,GIRLS’ SILHOUETTED FACES
The official slogan of the United States Blind Golf Association is “You Don’t Have To See It To” what?,TEE IT
The old farming adage “knee high by the fourth of July” usually refers to the approximate height of what crop?,CORN
The OPEC Oil cartel includes member nations from all but which of these continents?,EUROPE
The Oregon state flag features an emblem on the front and image of what animal on the back?,BEAVER
The original cover art of the children’s classic “Charlotte’s Web” features all but which of the following?,A TOAD
The original “Lost in Space” TV serieswhich debuted in 1965is set in what “futuristic” year?,1997 *CORRECT*
The Oscar-winning film “No Country for Old Men” was adapted from a novel by what author?,CORMAC MCCARTHY
The outlaw Robert Ford is remembered as a “coward” for doing what to his gang leader Jesse James?,SHOOTING HIM IN THE BACK
The Parris Island Marine Corps Recruit Depot is located in what state?,SOUTH CAROLINA
The philosophical issue of “determinism” is devoted to questioning whether humans are born with what?,FREE WILL
The phrase “Dawn of a new era” includes the names of two popular brands of what?,CLEANING PRODUCTS
The phrase “get out of Dodge” is commonly believed to refer to a city in what U.S. state?,KANSAS
The phrase “going against the grain” originally referred to a more difficult method of doing what?,CUTTING WOOD
The phrase “long in the tooth” comes from what animal’s tendency to have receding gums as it ages?,HORSE
The phrase “Pike’s Peak or Bust!” was a popular slogan for settlers who moved to Colorado looking for what?,GOLD
The phrase “Quality is Our Recipe” is part of the logo of what fast-food chain?,KFC
The plots of the 2010 romantic comedies “The Back-Up Plan” and “The Switch” both revolve around what medical procedure?,ARTIFICIAL INSEMINATION
The Polar Rim section of the San Diego Zoo houses an exhibit featuring which of these animals?,REINDEER
The polemonium plant derives its common nickname from a Biblical story about a “ladder” seen by whom?,JACOB
The pop singer Fergie has what lesser-known first name?,STACY
The popular burrito chain Chipotle is named after a type of what?,PEPPER
The popular drink known as an “Arnold Palmer” is typically made with equal parts iced tea and what?,LEMONADE
The popular lunch meat baloneysometimes spelled bolognatakes its name from a city in what country?,ITALY
The popular slang term “nom” which refers to eating something yummy derives from what Sesame Street character?,COOKIE MONSTER
The popular video game “Grand Theft Auto IV” is set in what fictional metropolis?,LIBERTY CITY
The popular Web show “Easy to Assemble” is appropriately set at what distinctive retail spot?,IKEA
The popular web show “Easy to Assemble” is appropriately set at what distinctive retail spot?,IKEA
The position of “long snapper” plays a keyif understated role in which of these team sports?,FOOTBALL
The practice of performing in public places for tips and gratuities is known as what?,BUSKING
The practice of tightly wrapping an infant with blankets to prevent the movement of limbs is known as what?,SWADDLING
The prestigious Juno Award is the Canadian equivalent of what American honor?,GRAMMY
The prevailing shrub of the Great Basin Desert sagebrush is the official flower of what U.S. state?,NEVADA
The product of two negative numbers is always what?,A POSITIVE NUMBER
The punny 1966 Time Magazine headline “Truman’s Compote” combines an author’s name and a type of what?,DESSERT
The punny 1966 Time Magazine headline “Truman’s Compote” combines an author’s name and a type of what?,DESSERT
The Queen song “Bohemian Rhapsody” mentions which of these great thinkers in its lyrics?,GALILEO
The real-life town of HamelnGermanyis famous as the site of a folk tale starring what legendary figure?,PIED PIPER
The rebellious “Beat Generation writers flourished in the U.S. during which of these decades?,1950s
The recipe for eggs Benedict traditionally calls for what type of meat?,HAM
The Red Cross estimates that how much blood is collected during a typical donation?,1 PINT
The reflective surface of a CD usually consists of an extremely thin layer of what metal?,ALUMINUM
The result of strong solar flares that scientists fear could destroy power gridsan “EMP” is a what?,ELECTROMAGNETIC PULSE
The retailer Burberry is known for accenting its garments with tanblackwhite and red in what trademark pattern?,PLAID
The romantic comedy “Sleepless In Seattle” ends with Meg Ryan and Tom Hanks finally meeting atop what landmark?,EMPIRE STATE BUILDING
The Rosetta stone is a famous ancient artifact that features writing in Egyptian and what other language?,GREEK
The ruins of the ancient city of Pompeii are located in what country?,ITALY
The Salton Sea is a large salt lake located in what U.S. state?,CALIFORNIA
The sartoriusthe longest muscle in the human bodyis located where?,THIGH
The Scoville scale used to measure the “zing” of chili peppers rates which of these peppers the hottest?,HABENERO
THE SEC is a government agency that was established in response to what national event?,1929 STOCK MARKET CRASH
The second half of each episode of TV’s “Law & Order” focuses on the efforts of what professionals?,DISTRICT ATTORNEYS
The Secret Service reportedly refer to Malia and Sasha Obama by what code names?,RADIANCE & ROSEBUD
The section of New York’s Central Park known as “Strawberry Fields” memorializes a member of what iconic band?,THE BEATLES
The series finale of “The Sopranos” ended with Tony engaging in what decidedly un-mob-like activity?,EATING ONION RINGS
The Showtime series “Episodes” stars what “Friends” star as a lightly fictionalized version of themselves?,MATT LEBLANC
The Silver Bullet Band is the longtime backing band of what popular musician?,BOB SEGER
The Sinai Peninsula is a triangular piece of land that connects what two continents together?,ASIA AND AFRICA
The sinking of the Lusitania ocean liner hastened the U.S.’s entry into what war?,WORLD WAR I
The site of a 1969 political scandal Chappaquiddick Island connects to what larger island?,MARTHA”S VINEYARD
The site of a big loss for Colonel ClusterWyoming’s Little Bighorn is which of the following?,A RIVER
The site of a famous 1839 slave mutinythe 19th-century ship La Amistad has a name that means what in Spanish?,FRIENDSHIP
The site of the Wright Brothers historic first flightKitty Hawk is located in what U.S. state?,NORTH CAROLINA
The sketch comedy series “Portlandia” pokes fun at hipsters residing in what state’s most populous city?,OREGON
The slang term “El Lay” phonetically spells out the abbreviation for what state’s most populated city?,CALIFORNIA
The slogan “This machine kills fascists” often appeared on the guitars of what musician?,WOODY GUTHRIE
The slogan “Untouched by Man” is used to advertise which of these grocery store products?,FIJI WATER
The slogan “LiberteEgaliteFraternite” appears on euro coins minted in what country?,FRANCE
The snail Bufonaria borisbeckeri was named by a German researcher in honor of a champion in what sport?,TENNIS
The son of a jazz promoterBilly Crystal was taken to his first movie by what legendary singer?,BILLIE HOLIDAY
The song “Do-Re-Mi” in “The Sound of Music” teaches us that all but which of the following are music syllables?,LO
The song “Over The River and Through The Woods” was originally an 1844 poem about what holiday?,THANKSGIVING
The sounds of what London landmark were first broadcast over BBC radio on New Year’s Eve to ring in 1924?,BIG BEN
The Spanish warning “Esta caliente” often appears on which of these containers?,COFFEE CUP
The Spanish-American War began in 1898 as an intervention by the United States on behalf of what country?,CUBA
The square dance move “do-si-do” is derived from the French phrase “dos-a-dos” which translates to what?,BACK-TO-BACK
The star of her own cable TV reality series Rachel Zoe is best known for her work as a celebrity what?,FASHION STYLIST
The state whose name comes first alphabetically is located where in the U.S.?,DEEP SOUTH
The storied fugitive known as D.B. Cooper famously eluded capture in 1971 by doing what?,JUMPING OUT OF A PLANE
The Strait of Magellan runs primarily through which of these countries?,CHILE
The style of American architecture based on building designs popular during the Revolutionary War is called what?,COLONIAL REVIVAL
The style of pickup truck known as a “dually” gets its name from having twice the standard number of what?,REAR WHEELS
The subject of a famous Revolutionary War poem the “shot heard ’round the world” was fired in what U.S. state?,MASSACHUSETTS
The subject of a much-publicized hoax in 2009 6-year old Falcon Heene was better known in the media as what?,BALLOON BOY
The Sundance Film Festival is held every January in what U.S. state?,UTAH
The T-Birdsthe Pink Ladiesand the Scorpions are all high school cliques in what movie musical?,GREASE
The tabloid term “Brangelina” which combines two names into oneis an example of what kind of word?,PORTMANTEAU
The talking dog in the 2011 TV series “Wilfred” won comparisons to the imaginary animal in what Jimmy Stewart film?,HARVEY
The Tasman Sea is part of what ocean?,PACIFIC
The Tea Party movement takes its name from a famous historical event that took place in what city?,BOSTON
The teenage drama “Gossip Girl” is partly set at a fictional New York City prep school called what?,CONSTANCE BILLIARD SCHOOL
The term French paradox refers to the fact that despite a high-fat diet the French are relatively what?,SLENDER
The term “ad lib” comes from the Latin phrase “ad libitum” which roughly means what?,AT ONE’S PLEASURE
The term “banana republic” originally referred to smallpolitically unstable countries in what part of the world?,CENTRAL AMERICA
The term “bootleg” comes from an old habit of smugglers hiding what in their boots?,ALCOHOL
The term “carbon footprint” refers primarily to the impact of a person’s lifestyle on the what?,ENVIRONMENT
The term “head honcho” is derived in part from the Japanese word “hancho” which roughly translates as what?,GROUP LEADER
The term “lower forth-eight” is commonly used to refer to the U.S. minus what two states?,ALASKA AND HAWAII
The term “melting pot” is often used to refer to the fact that the U.S. is very what?,CULTURALLY DIVERSE
The term “paparazzi” comes from the name of an aggressive photographer in what movie?,LA DOLCE VITA
The term “Polyanna” refers to a person who is excessively what?,CHEERFUL
The term “provenance” is used in the art world to refer to a painting’s what?,OWNERSHIP HISTORY
The term “slush fund” was originally used by sailors to refer to the side money they made selling what?,ANIMAL FAT
The term “spam” for junk e-mail is derived from a well-known sketch on what comedy show?,MONTY PYTHON’S FLYING CIRCUS
The term “Tin Pan Alley” originally referred to a New York City district famously associated with what industry?,SONGWRITING
The theme song for what popular cartoon features the line “robots in disguise”?,TRANSFORMERS
The theme song for “The Young and Restless” “Nadia’s Theme” is named for a famous female what?,GYMNAST
The theme song to what ’80s sitcom begins with the memorable line “Streaks on the china never mattered before”?,MR. BELVEDERE
The theme song “Eye of the Tiger” is featured in the third installment of what movie franchise?,ROCKY
The tick bites that cause Lyme disease typically form a reddish rash with what distinctive shape?,BULL’S-EYE
The title of a 1955 Marilyn Monroe film suggests that spouses “itch” to stray after how many years of marriage?,SEVEN
The title of a famous show tune from the 1949 musical “South Pacific” “Bali Ha’i” is a what?,ISLAND
The title of a popular online game sold by Zynga invites players to form “Words With” what?,FRIENDS
The title of Stephen Covey’s 1989 self-help book claims that “Highly Effective People” have how many “habits”?,SEVEN
The title of the 1927 novel “Treasure of the Sierra Madre” refers to a mountain range in what country/,MEXICO
The title of the 2011 film “Super 8” refers to a largely outdated type of what?,FILM STOCK
The title of the classic novel “Wuthering Heights” refers to what place?,FAMILY ESTATE
The title of the TV series “Friends” refers to a group of how many total friends?,6
The title “maitre d” is from a longer phrase that features what well-known French word?,HOTEL
The TLC reality series “Sister Wives” has been described as a real-life version of what cable drama series?,BIG LOVE
The town of Riverside Iowa claims to be the “future birthplace” of what fictional character?,CAPTAIN JAMES KIRK
The Toyota models CamryCorolla and Corona all get their names from Latin or Japanese words that mean what?,CROWN
The tradition known as “Carburetion Day” takes place every year on the Friday before what sporting event?,INDIANAPOLIS 500
The tradition of indoor Christmas tree decorating began in the 16th century in what country?,GERMANY
The traditional Chinese game of mah-jongg is played using what kind of game pieces?,TILES
The trendy Master Cleanse diet involves drinking a concoction made with all but which of these ingredients?,GINGER
The triangular orange logo on Elmer’s glue labels features the head of Elmerwho is what kind of “spokesanimal”?,BULL
The trophy for the annual Teen Choice Awards consists of a full-size usable what?,SURFBOARD
The TV series “Ugly Betty” is set at the offices of what fictional “Vogue-like” magazine?,MODE
The TV shows “Glee” and “Freaks and Geeks” are both set at high schools named after which U.S. President?,WILLIAM MCKINLEY
The TV shows “Glee” and “Freaks and Geeks” are both set at high schools named after what U.S. president?,WILLIAM MCKINLEY
The two countries in the world whose names come last alphabetically are both located where?,SOUTHERN AFRICA
The U.S. Constitution begins “We the People of the United Statesin order to form a more perfect” what?,UNION
The U.S. government issues federal Stafford loans to help borrowers pay for what?,EDUCATION
The U.S. icon “Uncle Sam” was based on Samuel Wilson who during the War of 1812 was a what?,MEAT INSPECTOR
The U.S. Marine Corps motto is often shortened to Semper Fi a phrase in which “Fi” is short for what?,FIDELIS
The U.S. tested its first atomic bomb in 1945 near what location?,ALAMAGORDO NM
The unconventional women of America’s Jazz Age are commonly known by what nickname?,FLAPPERS
The unique sound of a Harley-Davidson motorcycle engine idling is commonly described by what food phrase?,POTATO POTATO POTATO
The United Nations flag depicts a map of the world surrounded by what?,OLIVE BRANCHES
The United States of America is named after a famous what?,EXPLORER
The University of CaliforniaSan Diego’s Geisel Library bears the real surname of what author?,DR.SEUSS
The US imports the most oil from which of these countries?,CANADA
The USDA uses the official terms “broiler” “fryer” and “roaster” to classify different types of what?,CHICKENS
The USDA’s 2010 “Dietary Guidelines for Americans” urges people to eat more of all but which of these”?,REFINED GRAINS
The Van Gogh Museum is a popular destination for art lovers visiting what European capital?,AMSTERDAM
The VH1 reality show “Brandy and Ray J: A Family Business” centers on a pair of singers that are related how?,BROTHER AND SISTER
The voice actor Don LaFontaine was famous for what signature phrase often heard in movie trailers?,IN A WORLD…
The war memorial for what branch of the U.S. military depicts soldiers raising a flag at Iwo Jima?,MARINES
The Washington Monument was modeled after the obelisks built by what ancient empire?,EGYPTIAN
The Washington Post evaluates the truthfulness of political ads by assigning a rating of between one and four what?,PINOCCHIOS
The Web site IDoNowIDont.com is a marketplace for buying and selling secondhand what?,ENGAGEMENT RINGS
The Web site Stubhub.com is a popular place to buy which of the following?,CONCERT TICKETS
The Web site www.thefabricofourlives.com was created to support producers of what?,COTTON
The wine-producing grape called Syrah in France is known by what other name in Australia?,SHIRAZ
The word diaphanous is used to describe what type of clothing?,SEE-THROUGH
The word for “handcuffs” is the same as the word for “wives” in what language?,SPANISH
The word “aide” used generally to refer to an assistantis short for what longer French expression?,AIDE-DE-CAMP
The word “alimony” comes from a Latin word meaning what?,SUSTENANCE
The word “alligator” is derived from the Spanish term “el lagarto” meaning what?,THE LIZARD
The word “alphabet” is derived from “alpha” and “beta” the first two letters of what alphabet?,GREEK
The word “discotheque” comes from a French word meaning what?,RECORD LIBRARY
The word “Draconian” comes from the name of a Greek statesman who was best known for doing what?,PASSING STRICT LAWS
The word “fleabag” is commonly used to describe a seedy or run-down what?,HOTEL
The word “harvest” is derived from an Old English word that referred to what season?,AUTUMN
The word “pita” comes from a Greek term meaning what?,BREAD
The World Barista Championship is an annual event that tests competitors’ skills in what activity?,MAKING ESPRESSO DRINKS
The Yuko hair straightening treatment is often referred to by its country of origin which is what?,JAPAN
The Yum-o! organization a nonprofit that teaches healthy eatingwas founded by what bubbly TV chef?,RACHAEL RAY
The zoological classification Lepidoptera consists of butterflies and what other insects?,MOTHS
The “.tv” Internet addressoften used for television-related websitesbelongs to what country?,TUVALU
The “3000 Mile Myth” refers to the debunked belief that you should do what to your car every 3000 miles?,CHANGE THE OIL
The “Family Jewels” of the British monarchy are kept under armed guard at what London landmark?,TOWER OF LONDON
The “fingerstache” is a popular tattoo of a stylized mustache typically inked on what finger?,INDEX
The “funny bone” is thought to get its name due to its proximity to what funny-sounding bone?,HUMERUS
The “Grandfather Paradox” is a problem facing those attempting to unlock which of these scientific theories?,TIME TRAVEL
The “greaser” look of Shia LaBeouf’s character in “Indiana Jones 4” was modeled after Marlon Brando in what film?,THE WILD ONE
The “Green Line” is a term used to describe the boundary between what two historically hostile areas?,ISRAEL AND THE WEST BANK
The “heat index” is a weather indicator that takes into account air temperature and what other factor?,RELATIVE HUMIDITY
The “jerk” method of preparing and cooking meat originated in what country?,JAMAICA
The “O” in Irish names like “O’Neill” and “O’Casey”comes from “ua”an Irish word meaning what?,GRANDSON
The “Star Wars” films notably contain music themes for each main charactera practice known by what music term?,LEITMOTIF
The “wrap dress” is the signature creation of what high-end fashion designer?,DIANE VON FURSTENBERG
Theodore Roosevelt National Park is located on the former site of the president’s Elkhorn Ranch is what U.S. state?,NORTH DAKOTA
Thiamine riboflavin and niacin are three vitamins in a group commonly known as what?,VITAMIN-B COMPLEX
Though a female turkey is called a hena male is known not as a rooster but as a what?,TOM
Though a popular term now”hipster” was actually coined in the 1940s to replace what jazzy term?,HEPCAT
Though a silvery-white medalwhat chemical element lends its name to a deep shade of blue?,COBALT
Though a single issue costs $5.95 what weekly magazine was sold in its entirety in 2010 for only $1,NEWSWEEK
Though airing in different decades which of these TV shows featured the same actor as a character?,FAMILY TIES & SPIN CITY
Though airing in different decades which of these TV shows featured the same actor as a main character?,FAMILY TIES AND SPIN CITY
Though critics called him a “walking dust mop” the 2012 Westminster Best in Show went to Malachya 4-year-old what?,PEKINGESE
Though he lives and works in Nashvillewhich of these country singers is a New Zealand-born Australian?,KEITH URBAN
Though he now makes his home in Dallas NBA superstar Dirk Nowitzki hails from what foreign country?,GERMANY
Though he often just goes by his first namecelebrity physician Dr.Drew has what surname?,PINSKY
Though he still tours playing The Who classicswhat former frontman owns a trout fishery in East SussexEngland?,ROGER DALTREY
Though he was 21 when it all wrapped up how old was Daniel Radcliffe when the first Harry Potter film came out?,12
Though her recent work is Christian-themed what novelist announced in 2010 she was leaving Christianity,ANNE RICE
Though his successor removed them what U.S. President was the first to install solar panels on the White House roof?,JIMMY CARTER
Though human fat is typically whitishmost people also have small amounts of calorie-burning fat that is what color?,BROWN
Though it applies to all of them nowthe term “vermin” derives from the Latin word for which of these creatures?,WORM
Though it can be traced back to the 1500s the proverb “Tomorrow is another day” was popularized by what author?,MARGARET MITCHELL
Though it didn’t feature buffalo wings as an in-flight snackwhat chain restaurant once operated its own short-lived airline?,HOOTERS
Though it doesn’t contain egg or cream an “egg cream” traditionally contains which of the following?,SELTZER WATER
Though it is often quotedthe line “Elementarymy dear Watson” never actually appears in the works of what author?,ARTHUR CONAN DOYLE
Though it later became associated with Christie Brinkley Billy Joel’s hit “Uptown Girl” was originally about whom?,ELLE MACPHERSON
Though it sounds like a movie awards categorywhich of these is the name of a hotel chain?,BEST WESTERN
Though it sounds like it is for a children’s gamewhich of these websites belongs to a major U.S. book publisher?,SIMONSAYS.COM
Though it sounds like something for a plumber a “piping bag” is used by which of these professionals?,PASTRY CHEF
Though it works for other cutswhich of these is the name of a kitchen knife used to remove the delicate skin from fresh fish?,SALMON KNIFE
Though it’s in the dictionary which of these words is considered an improper combination of two other words?,IRREGARDLESS
Though known for her comedy what actress won an Oscar for her dramatic turn in the 2009 film “Precious”?,MONIQUE
Though mostly free of it as an adultwhich of these politicians grew up with a strong stutter?,JOE BIDEN
Though not confirmed by the authorJohnny Fontanethe singer in “The Godfather” is believed to be based on whom?,FRANK SINATRA
Though not known to drive cats crazywhich of these herbs is classified in the same family as catnip?,OREGANO
Though now associated with Mexicopiatas are thought to have originated from what country’s New Year celebrations?,CHINA
Though now headquartered in New Yorkthe United Nations drew up its charter in what other U.S. city?,SAN FRANCISCO
Though now made with artificial flavors traditional grenadine syrup is made with the juice of what fruit?,POMEGRANATE
Though now often referred to any roasted beefbarbacoa traditionally comes from what part of the cow?,HEAD
Though often billed as small-claims courtsTV shows like “Judge Joe Brown” are actually a form of what?,BINDING ARBITRATION
Though often referred to by its trademarked namethe Crock-Pot is really what kitchen appliance?,SLOW COOKER
Though scientists can now simulate the processwhat milk’s preparation traditionally involved churning?,BUTTERMILK
Though she’s technically “Mrs. Jenner” the matriarch of the Kardashian family has what first name?,KRIS
Though sommeliers may disagreeboxes of Franzia proudly declare it to be “the world’s most popular” what?,WINE
Though spelled “feng shui” the Chinese art of spatial arrangement is typically pronounced how?,“FUNG SHWAY”
Though the amount is no longer in U.S. circulationthe classic game of monopoly comes with bills in what denomination?,$500 *CORRECT*
Though there are certainly morea famous George Carlin bit lists how many “words you can never say on television”?,7 *CORRECT*
Though there is little historical evidence horned helmets are often associated with whom?,VIKINGS
Though they all have the same voltagewhich of these alkaline batteries is the smallest in size?,AAA
Though they move back and forth while buddingmature sunflowers typically face what direction?,EAST
Though they suspected it was hazardousthe ancient Romans extensively used what material in their water pipes?,LEAD
Though trained as a doctor Richard Jordan Gatling is best known for inventing an early type of what?,MACHINE GUN
Though you’d have to eat a lot to get sick which of these fruits have seeds that naturally contain cyanide?,APPLES
Thought to be a combination of “simon” and “napoleon” “simoleon” is an old-fashioned slang term for a what?,DOLLAR BILL
Thousand Island dressing is said to have gotten its name from a chain of islands that lie in what river?,THE ST.LAWRENCE
Throughout her career in the kitchenJulia Child often said the secret to a long life is what?,RED MEAT AND GIN
Tilapia is a popular variety of what?,FISH
Timothy Q.Mouse initially frightensbut then befriends the title character of what classic Disney film?,DUMBO
To a resident of the British Isles which of these countries is commonly called “The Antipodes?”,AUSTRALIA
To avoid blinking many women unconsciously open their mouths when applying what cosmetic?,MASCARA
To avoid confusion with a prominent citywhat state’s tourism department advertises itself as “The State”?,WASHINGTON
To celebrate his 85th birthdaywhat did George H.W. Bush do while strapped to a U.S. Army Sergeant?,SKYDIVE
To enhance its sense of authenticity which of these TV dramas was shot on location in Austin TX?,FRIDAY NIGHT LIGHTS
To extend their shelf lifebags of potato chips are often filled with what gas before being sealed?,NITROGEN
To help fans pronounce it CORRECTly comedian Louis Szekely typically spells his name how?,LOUIS C.K.
To make paper-machekids traditionally dunk newspaper strips into paste made from water and what?,FLOUR
To make papier-mache kids traditionally dunk newspaper strips into paste made from water and what?,FLOUR
To prevent fires consumers are often warned not to use which of these products in a microwave oven?,ALUMINUM FOIL
To promote Breast cancer awarenessin 2010 Elizabeth Hurley helped light 39 landmarks what color?,PINK
To pursue his hobby a cruciverbalist would flip to what part of a newspaper?,CROSSWORD PUZZLE
To reduce the risk of a bladder infectionmany experts advise drinking what tannin-rich beverage?,CRANBERRY JUICE
To sound like a New Yorkeryou can say “light and sweet” when ordering which of the following?,COFFEE
To the dismay of nutritionistswhat chain restaurant’s “Bistro Shrimp Pasta” contains a reported 2700 calories?,THE CHEESECAKE FACTORY
To tour the USS Arizona Memorial at Pearl Harbor you must visit what Hawaiian island?,OAHU
To win a superfecta wager at the tracka bettor must pick how many of the top finishers in the right order?,FOUR
Tom Hanks received an Oscar nomination for his work in all but which of these films?,THE GREEN MILE
Tonic water is distinctively flavored because it contains what chemical?,QUININE
Torts is a common first-year course for students in what professional school?,LAW
Tourists intending to visit the capital city of San Jose would receive the best travel advice from what guide book?,LET’S GO COSTA RICA
Traditional Requiem Masses often include a sequence called the “Lacrimosa” a Latin term meaning what?,TEARFUL
Traditionally made with a base of olive oilCastile soap is named for a region of what country?,SPAIN
Traditionally made with fried seafooda po’ boy is a sandwich associated with what U.S. city’s cuisine?,NEW ORLEANS
Traditionally served on New Year’s DayHoppin’ John is a popular Southern side dish made with what type of bean?,BLACK-EYED PEAS
Traditionally worn by geishas and sumo wrestlersgeta are wooden footwear from what country?,JAPAN
Traditionally worn by golfers “plus fours” are a type of what?,PANTS
Traditionally quarterbacks yell which of these words to their center when they want to start a play?,HIKE
Traditionally what member of a wedding party is in charge of “bustling” the bride’s gown?,MAID OF HONOR
Traditionally which of these professionals is most likely to wear a skirt made of tulle?,BALLERINA
Traditionallys’mores are made by sandwiching chocolate and marshmallows between what?,GRAHAM CRACKERS
Traditionallythe U.S. Congress takes a month-long recess during what month?,AUGUST
Traditionallywhich wedding anniversary is considered the “Diamond” anniversary?,60TH *CORRECT*
Translating to “Fashion Dispatch” what 80s band took its name from a French fashion magazine?,DEPECHE MODE
Trial lawyers often refer to the false expectation that a witness will confess under cross-examination as what?,PERRY MASON SYNDROME
TV and movie character Peewee Herman is known for wearing which of these fashion accessories?,RED BOW TIE
TV journalist Jane Pauley is married to Garry Trudeau a cartoonist best known for what strip?,DOONESBURY
TV personality Ross Matthews first rose to fame as “Ross the Intern” on what TV host’s show?,JAY LENO
Twenty-five times the size of the Bonneville Salt Flats the Salar de Uyuni Salt Flats are located where?,BOLIVIA
Two siblings born to the same mother less than a year apart are often cheekily described as what?,IRISH TWINS
Two words that have directly opposite meanings are called what?,ANTONYMS
Typically flavored with caraway seeds which of these spirits derives its name from the Latin for “water of life”?,AQUAVIT
Typically flavored with caraway seedswhich of these spirits derives its name from the Latin for “water of life”?,AQUAVIT
Typically marking the end of a conversationthe Spanish phrase “Vaya con Dios” means what in English?,GO WITH GOD
